dimension,index,indicator,source_desc,statisticcat_desc,domaincat_desc,short_desc,commodity_desc,note,metric,variable_name,definition,axis_name,units
economics,food business resilience,operations diversification,CENSUS,,,"INCOME, FARM-RELATED, AG TOURISM & RECREATIONAL SERVICES - OPERATIONS WITH RECEIPTS","INCOME, FARM-RELATED",new,Operations with agritourism and recreation sales,nOpsAgTourismRecreation,,,count
economics,food business resilience,operations diversification,CENSUS,,,derived,"INCOME, FARM-RELATED",new,Income from agritourism and recreation as proportion of total income,incomeAgTourismRecPropTotal,Farm-related income from ag tourism and recreation divided by total farm-related income,,usd
economics,food business resilience,operations diversification,CENSUS,,,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",COMMODITY TOTALS,new,"Operations with value-added, retail, direct marketing commodity sales",nOpsValueAddedDirect,,,count
economics,food business resilience,operations diversification,CENSUS,,,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",COMMODITY TOTALS,new,"Total sales of value-added, retail, direct marketing commodities",totalSalesValueAddedDirect,,,usd
economics,food business resilience,operations diversification,CENSUS,,,derived,COMMODITY TOTALS,new,"Sales from value-added, retail, direct marking commodities as a proportion of total sales",salesValueAddedDirectPropTotal,,,usd
economics,food business resilience,operations diversification,CENSUS,,,"COMMODITY TOTALS, INCL VALUE-ADDED, WHOLESALE, DIRECT TO RETAILERS & INSTITUTIONS & FOOD HUBS, LOCAL OR REGIONALLY BRANDED PRODUCTS, HUMAN CONSUMPTION - OPERATIONS WITH SALES",COMMODITY TOTALS,new,"Operations with value-added, wholesale commodity sales",nOpsValueAddedWholesale,,,count
economics,food business resilience,operations diversification,CENSUS,,,"COMMODITY TOTALS, INCL VALUE-ADDED, WHOLESALE, DIRECT TO RETAILERS & INSTITUTIONS & FOOD HUBS, LOCAL OR REGIONALLY BRANDED PRODUCTS, HUMAN CONSUMPTION - SALES, MEASURED IN $",COMMODITY TOTALS,new,"Total sales of value-added, wholesale commodities",totalSalesValueAddedWholesale,,,usd
economics,food business resilience,operations diversification,CENSUS,,,derived,COMMODITY TOTALS,new,Sales from value-added wholesale as a proportion of total sales,salesValueAddedWholesalePropTotal,,,usd
economics,food business resilience,operations diversification,CENSUS,,,derived,COMMODITY TOTALS,new,Market channel ratio,retailSalesPropWholesale,,,
economics,food business resilience,operations diversification,CENSUS,,,"COMMODITY TOTALS, PRODUCED AND SOLD VALUE-ADDED PRODUCTS - SALES, MEASURED IN $",COMMODITY TOTALS,new,Sales from value-added products,salesValueAdded,,,
economics,food business resilience,operations diversification,CENSUS,,,derived,COMMODITY TOTALS,new,Sales from value-added products as a proportion of total sales,salesValueAddedPropTotal,,,
util_dimension,util_index,util_indicator,CENSUS,,,FARM OPERATIONS - NUMBER OF OPERATIONS,FARM OPERATIONS,new,Number of operations,nOperations,,,count
util_dimension,util_index,util_indicator,CENSUS,,,"AG LAND, CROPLAND - ACRES",AG LAND,new,Acres of crop ag land,agLandCropAcres,,,acres
util_dimension,util_index,util_indicator,CENSUS,,,"AG LAND, CROPLAND, HARVESTED - ACRES",AG LAND,new,Acres of harvested cropl ag land,agLandCropHarvestAcres,,,acres
util_dimension,util_index,util_indicator,CENSUS,,,"AG LAND, IRRIGATED - ACRES",AG LAND,new,Acres of irrigated ag land,agLandIrrigatedAcres,,,acres
util_dimension,util_index,util_indicator,CENSUS,,,"AG LAND, CROPLAND, PASTURED ONLY - ACRES",AG LAND,new,Acres of pasture ag land,agLandCropPastureAcres,,,acres
util_dimension,util_index,util_indicator,CENSUS,,,"AG LAND, WOODLAND - ACRES",AG LAND,new,Acres of woodland ag land,agLandWoodAcres,,,acres
